id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,28,16,2019-12-21,0.28,1,97
5506,**$49 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32981,-71.09559,Entire home/apt,145,3,106,2019-10-31,0.79,6,307
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,115,2019-11-02,0.88,6,266
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35919,-71.06265,Entire home/apt,99,91,24,2019-09-30,0.35,8,290
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.3584,-71.06185,Entire home/apt,150,91,31,2019-12-01,0.24,8,42
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.34961,-71.08904,Entire home/apt,179,91,80,2020-03-08,2.74,9,0
10986,Waterfront/North End Furnished Large Studio Apt,38997,Michelle,,North End,42.36352,-71.05075,Entire home/apt,125,91,2,2016-05-23,0.04,9,364
16384,Small Room in Cambridge Kendall MIT,23078,Eric,,Beacon Hill,42.3581,-71.07132,Private room,50,91,0,,,1,365
18711,The Dorset | 3BR 1BA | Walk to the Redline and JFK UMass!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,154,29,52,2019-10-05,0.43,39,260
22195,Copley House - Premium Studio,85130,Copley,,Back Bay,42.34558,-71.0793,Private room,115,1,21,2020-02-08,0.17,6,360
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34496,-71.07486,Private room,148,2,316,2019-12-13,2.98,5,88
24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",97821,Gretchen,,North End,42.36366,-71.05023,Entire home/apt,275,2,103,2019-10-03,0.89,1,272
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,221,2,93,2018-10-21,0.77,2,269
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.3151,-71.11108,Private room,95,6,75,2019-11-04,0.64,1,331
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37404,-71.06118,Entire home/apt,125,3,130,2019-12-10,1.11,1,89
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32584,-71.08927,Private room,75,2,141,2019-08-13,1.25,5,46
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Downtown,42.35712,-71.0618,Entire home/apt,175,32,18,2018-11-05,0.23,8,322
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35867,-71.06332,Entire home/apt,110,32,44,2019-10-30,0.49,8,197
69369,Room in Boston off the beaten path,255183,Michelle,,Roxbury,42.32614,-71.0884,Private room,79,2,120,2019-11-15,1.11,5,46
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853,-71.06177,Private room,140,2,54,2019-11-02,0.52,1,365
95453,Royal Street Studio: Allston,508268,Richard,,Allston,42.35937,-71.13156,Entire home/apt,175,5,41,2019-10-13,0.37,1,357
163941,$99* SPECIAL* 2 bed ApT! Location!,8229,Terry,,Roxbury,42.32965,-71.09503,Entire home/apt,225,3,228,2019-12-30,2.16,6,162
169430,Stylish + Comfortable Urban Victorian,807320,Kate,,Roxbury,42.32158,-71.09047,Entire home/apt,200,2,149,2020-02-23,1.41,1,11
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.31039,-71.06907,Entire home/apt,55,7,68,2020-03-01,0.64,1,247
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.3132,-71.11832,Private room,60,30,44,2020-03-17,0.42,1,178
197972,Perfect Location--Super Studio!,965697,Chris & Kristina,,Jamaica Plain,42.31732,-71.10834,Entire home/apt,90,2,388,2020-03-31,3.75,2,143
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31864,-71.10641,Entire home/apt,100,3,192,2020-03-07,1.84,1,281
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36539,-71.05438,Private room,95,3,251,2020-03-03,2.41,1,89
225224,4th floor office room,85770,Robert,,South End,42.34643,-71.07503,Private room,105,2,318,2020-03-21,3.07,5,90
257588,BOSTON LUXURY FOR LESS!!NEAR BCEC $4000 for April,1355344,Meri,,South Boston,42.33066,-71.03984,Entire home/apt,200,2,326,2020-02-17,3.46,1,230
276450,19th Century Luxury | South End | 1BR 1BA #3,814298,Thatch,,Roxbury,42.33821,-71.07978,Entire home/apt,200,91,92,2019-10-28,0.95,106,365
295285,"Single Bedroom, Quiet Neighborhood",1271326,Tom,,West Roxbury,42.28719,-71.16816,Private room,80,1,30,2020-03-23,0.36,1,275
322593,"Near Hospitals, 28 Day Bking Only,OutdoorSpace",1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,350,28,408,2020-03-31,4.75,4,209
349347,Experience Past|Enjoy Present|South End 1BR 1BA #2,814298,Thatch,,Roxbury,42.33824,-71.08171,Entire home/apt,200,91,111,2019-09-19,1.15,106,179
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30088,-71.0819,Private room,60,91,24,2019-10-07,0.29,4,363
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,3,313,2020-03-01,3.29,1,222
475254,Spectacular Boston Townhouse in Heart of Boston,2355815,Francine,,Bay Village,42.34846,-71.0681,Entire home/apt,6000,91,19,2020-02-29,0.44,1,0
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.3092,-71.11836,Private room,200,91,16,2016-06-26,0.20,1,0
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34523,-71.07282,Private room,148,2,175,2019-10-31,1.84,5,90
530983,The Grand View | 5BR 2BA | Victorian Home on Redline!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,180,29,67,2019-10-29,0.74,39,284
533114,The Sawyer | 2BR 2.5BA | 1st Floor on Redline!,71783,Lance,,Dorchester,42.3122,-71.0611,Entire home/apt,154,30,53,2019-09-05,0.57,39,284
533152,The Penthouse | 2BR 1BA | 4th Floor near the Redline and UMass Boston!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,128,30,55,2020-03-01,0.75,39,365
561769,The Sky View | 3BR 1BA | City home on the Redline!,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,103,29,59,2019-09-02,0.63,39,246
568234,City's Hippest Location/Two Bedrooms,2796082,Margaret,,Jamaica Plain,42.3036,-71.10539,Private room,95,1,270,2020-03-01,2.86,2,319
579605,The Mayhew | 2BR 1BA | 3rd Floor,71783,Lance,,Dorchester,42.32212,-71.06095,Entire home/apt,128,30,52,2020-03-02,0.56,39,365
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34171,-71.14851,Entire home/apt,149,91,20,2019-02-09,0.36,1,0
601763,The Alameda 2 | 2BR 1BA | Brookline Area with easy and free parking!,71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,128,31,37,2019-08-27,1.00,39,331
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,325,2,35,2019-10-28,0.80,3,325
619142, Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.37808,-71.06343,Entire home/apt,175,91,168,2019-10-25,1.80,1,221
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33477,-71.04995,Private room,188,1,7,2019-06-13,0.15,1,173
658029,Trendy Fun Spot|Historic South End | 1BR 1BA #1,814298,Thatch,,Roxbury,42.33922,-71.08141,Entire home/apt,200,91,117,2019-09-16,1.27,106,304
697078,Spacious 1 bed facing State House,26988,Anne,,Beacon Hill,42.35893,-71.06331,Entire home/apt,175,91,19,2019-07-22,0.32,8,365
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37755,-71.0628,Entire home/apt,100,2,374,2020-01-31,4.09,1,236
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30581,-71.1126,Entire home/apt,550,3,75,2020-02-08,0.87,2,0
743759,AVAILABLE NOW: Private room & shared bath,7969,Carolyn,,Roslindale,42.29424,-71.13183,Private room,25,91,5,2019-09-30,0.06,2,365
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28588,-71.12491,Private room,50,91,142,2019-07-27,2.54,1,365
771309,Room for rent in shared apartment,239850,Theodore,,Dorchester,42.30805,-71.04966,Private room,59,91,2,2019-09-19,0.03,1,225
798957,"★Discounted★ NearHospitals★2floors★ 2 Baths,2beds",1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,347,1,416,2020-03-20,4.92,4,128
801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,8229,Terry,,Roxbury,42.32852,-71.09539,Entire home/apt,169,3,57,2020-03-30,0.64,6,116
801722,$79 Special!!  Minutes to Center!  Private Space,8229,Terry,,Roxbury,42.32819,-71.09405,Entire home/apt,149,3,54,2019-10-17,0.61,6,189
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,,Downtown,42.3558,-71.06104,Entire home/apt,275,2,78,2020-03-03,0.92,2,41
826706,Private Room in Spacious Apartment3,1997048,ToRena,,Dorchester,42.29996,-71.0806,Private room,79,91,7,2015-09-29,0.09,4,364
839265,Private Room in Spacious Apartment2,1997048,ToRena,,Dorchester,42.29822,-71.07621,Private room,61,91,26,2019-09-30,0.30,4,363
849408,"Perfect & Practical Boston Rental (1,000+ sqft)",4434391,Damon,,Roslindale,42.28882,-71.13951,Entire home/apt,239,4,151,2020-03-21,1.97,2,108
863788,2BR. Heart of South End. Walk to Marathon finish!,775932,Andy & Daljit,,South End,42.34367,-71.0708,Entire home/apt,385,2,9,2020-01-01,0.11,1,13
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,North End,42.36853,-71.05363,Entire home/apt,125,2,407,2020-02-24,4.73,1,198
894539,Private room in house,4762495,Jennifer,,Roslindale,42.2909,-71.13024,Private room,90,2,59,2020-01-31,0.75,2,314
962610,Convenient Boston Hotel Alternative,4434391,Damon,,West Roxbury,42.29053,-71.14106,Entire home/apt,119,3,91,2019-11-21,1.11,2,199
973695,"Boston Center, Sleeps 1 to 4 people",1760577,Claire,,Downtown,42.35929,-71.06086,Entire home/apt,250,91,60,2019-11-03,0.75,1,365
989163,5 ★ Victorian Dream,5430185,Laura And Olivia,,South End,42.34308,-71.07316,Entire home/apt,170,3,54,2020-03-17,0.67,7,98
990668,✔Arlington✔Skydeck ✔Walk Score 95✔Full Kitchen,1651480,Edward,,South End,42.34232,-71.07595,Private room,156,3,293,2020-03-17,3.50,4,220
1009275,Urban Treehouse,868067,Laura,,South Boston,42.33269,-71.04536,Private room,120,1,85,2020-03-01,2.26,2,346
1038465,HANCOCK TOWER/COPLEY ROOM,85770,Robert,,South End,42.34644,-71.07481,Private room,140,2,257,2020-01-03,3.01,5,87
1042420,"Easy access to Airport, Downtown, Seaport. Fenway",5715872,Charlotte,,East Boston,42.38362,-71.02023,Entire home/apt,170,2,87,2018-11-16,1.05,1,195
1055627,Spacious 1 bdrm in Beacon Hill ,4299002,Lauren,,Beacon Hill,42.36076,-71.06399,Entire home/apt,125,91,8,2018-09-09,0.09,2,0
1058448,Private room in Boston,3920014,Patti And Javier,,Jamaica Plain,42.31218,-71.10473,Private room,80,1,40,2019-10-20,0.47,1,338
1071235,Cozy JP Studio-Great Location!,965697,Chris & Kristina,,Jamaica Plain,42.31748,-71.10819,Entire home/apt,90,2,327,2020-03-17,3.87,2,144
1077105,"Studio Apt. for Rent in South End, ",5927277,J,,South End,42.34022,-71.075,Entire home/apt,176,91,0,,,1,0
1090413,HynesConventionCtr-5min-Lge Rm-Pvt Bath,1984434,Irene,,Back Bay,42.34502,-71.0803,Private room,103,3,166,2020-03-02,2.38,3,327
1090545,BostonCtrBackBay-Pvt Bath&Rm-Comfy Bed,1984434,Irene,,Back Bay,42.34373,-71.08224,Private room,103,3,117,2019-12-06,1.40,3,324
1092093,Duplex Penthouse in Longwood Area,26988,Anne,,Mission Hill,42.33285,-71.10115,Entire home/apt,95,91,32,2019-05-18,0.38,8,252
1109224,4 bedroom Victorian Condo unit,1531239,Lita,,Jamaica Plain,42.32051,-71.11216,Entire home/apt,439,2,74,2020-03-01,0.92,1,351
1161210,Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费｡｡,3887707,Emily,,West Roxbury,42.27176,-71.16759,Private room,70,28,209,2019-08-16,2.50,1,184
1167221,BOSTON 2 Room + private bath for 3 walk to Train,6391436,Robin,,Jamaica Plain,42.30844,-71.11726,Private room,90,1,263,2020-03-14,3.57,4,60
1167987,Long-term Rental: Single Room/Sh Bath/No Cooking,7969,Carolyn,,Roslindale,42.29317,-71.13016,Private room,26,91,8,2019-04-13,0.10,2,196
1171578, Private Room in a One Family House,3765817,Frank,,Brighton,42.35384,-71.16795,Private room,99,1,249,2019-12-06,3.08,1,358
1187188,Entire loft in Boston,2238969,Kenji,,Jamaica Plain,42.30693,-71.10789,Entire home/apt,136,91,28,2019-07-23,0.38,1,358
1200502,Charming Garden Studio In South End,6557340,Karoline,,South End,42.33843,-71.07685,Entire home/apt,165,91,96,2020-03-01,1.21,1,360
1220971,Boston Huge 1BR Best location (h2b),5578043,Dror,,North End,42.36598,-71.0528,Entire home/apt,149,28,145,2020-01-06,1.91,7,129
1222327,"Cozy, 2 bdr,  2 baths, house near medical area!",6668129,Chuck,,Jamaica Plain,42.32473,-71.10792,Entire home/apt,121,5,15,2019-10-12,0.25,1,5
1240598,"Studio by Tufts Medical, door knobs wiped daily",2356643,Voyage,,Downtown,42.35257,-71.0636,Entire home/apt,145,10,170,2020-02-29,2.04,10,321
1252489,Beacon Hill 1-Bed,6824319,Samantha,,Beacon Hill,42.36105,-71.06593,Entire home/apt,200,91,65,2017-08-28,0.78,1,0
1275498,5 ★ Parlor Retreat,5430185,Laura And Olivia,,South End,42.34294,-71.07304,Entire home/apt,190,3,46,2020-03-16,0.57,7,227
1303261,Historic Beacon Hill,2120816,Larry,,Beacon Hill,42.3588,-71.06972,Entire home/apt,425,91,23,2018-10-25,0.29,1,358
1321422,Barney's Master Bedroom T Downtown,6608084,CarneyFamily,,Dorchester,42.30907,-71.04674,Private room,76,1,580,2020-03-16,7.06,6,212
1327725,Modern 2 BR in Brighton with Parking,7205617,Mikhail,,Brighton,42.346,-71.1399,Entire home/apt,147,3,253,2020-03-19,3.08,1,122
1332786,Cozy One Person Only - Quick Downtown,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,47,1,430,2020-03-16,5.24,6,143
1340649,1BR in Charming South Boston Condo/Red Line/Beach,7271526,Michaela,,South Boston,42.32825,-71.05704,Private room,66,91,31,2019-10-26,0.46,1,90
1374434,"Authentic Boston, cozy room",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,65,28,41,2020-03-31,0.51,5,176
1374466,"Real Boston, off the beaten track",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,67,28,38,2019-12-31,0.49,5,232
1403408,Big Boston room,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,70,28,18,2019-06-29,0.22,5,176
1425973,Historic brick Victorian row house ,1015632,Kevin,,South End,42.33937,-71.08026,Private room,350,91,25,2019-09-06,0.31,1,89
1445064,Bright Sunlit bedroom near Spaulding/Downtown,4724006,Rosalia,,Charlestown,42.38017,-71.06236,Private room,68,28,103,2019-11-24,1.28,1,150
1454258,Inviting Queen Anne Victorian,7799789,Bruce,,Dorchester,42.30844,-71.0464,Private room,80,1,311,2019-11-05,3.82,3,365
1471308,Cozy Private Room Near Transit,7673571,Alexandra,,Mission Hill,42.33325,-71.10253,Private room,70,2,167,2020-03-06,2.06,1,160
1472481,John and Robert's Harbor View,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,75,1,564,2020-03-18,7.03,6,233
1472520,Andrea's Private Bath T Downtown,6608084,CarneyFamily,,Dorchester,42.30856,-71.04646,Private room,83,1,599,2020-03-17,7.40,6,204
1510876,Room with Sleeper Sofa Bed,7799789,Bruce,,Dorchester,42.31019,-71.04829,Private room,60,1,45,2019-08-09,0.56,3,365
1541166,Beautiful Studio 15 min to Downtown,552418,Vanya,,Charlestown,42.38159,-71.07892,Entire home/apt,109,2,39,2020-01-01,0.49,1,0
1544144,Charming Historic Home in Charlestown,7353037,Nancy And Tom,,Charlestown,42.37203,-71.06165,Entire home/apt,350,3,13,2019-12-30,0.56,1,193
1544702,Mary's Ocean View Metro Downtown,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,77,1,576,2020-03-18,7.18,6,224
1545185,"Large 1 Bed, Kitchen & Bath w/ Off Street Parking",697401,Nick,,Brighton,42.3484,-71.15696,Entire home/apt,140,2,123,2020-04-05,1.55,3,110
1584362,Grace's Harborview Fast T Downtown,6608084,CarneyFamily,,Dorchester,42.30976,-71.04742,Private room,63,1,615,2020-03-15,7.72,6,183
1596470,3-story Luxury in Central Location,480310,Michael,,Bay Village,42.34988,-71.06918,Entire home/apt,265,29,139,2018-12-28,1.74,1,74
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",8513158,Kevin,,Roxbury,42.3256,-71.09413,Private room,78,60,20,2020-03-21,0.81,2,294
1644031,Large Private bedroom by Seaport,8725557,Brooke,,South Boston Waterfront,42.34017,-71.04763,Private room,105,1,259,2020-03-08,5.15,1,135
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.28194,-71.13337,Private room,53,28,36,2019-09-23,0.46,2,365
1677807,"Sunny, welcoming 2 - bedroom condo in Boston",4192881,Julia,,Brighton,42.34923,-71.17173,Entire home/apt,95,3,47,2020-03-08,0.59,1,104
1682936,Charming 2 level Apartment,8898973,Adriana & Gianni,,Roxbury,42.32371,-71.09458,Entire home/apt,150,2,219,2020-03-14,2.94,2,328
1692573,Urban oasis trendy JP 'hood - suite,8814724,Kelly,,Jamaica Plain,42.31338,-71.11719,Entire home/apt,145,2,212,2020-03-15,2.69,1,337
1721016,Quiet Sunlit Attic Studio,7723912,Fj,,Roslindale,42.28607,-71.13236,Entire home/apt,76,30,7,2017-08-05,0.10,2,364
1724900,Charming sunlit house in Boston,7723912,Fj,,Roslindale,42.28291,-71.13268,Entire home/apt,110,28,43,2019-10-28,0.55,2,364
1732804,Private Bedroom/king sized bed; shared bathroom,9090219,Thomas,,Dorchester,42.29041,-71.05853,Private room,70,1,126,2020-03-02,1.59,1,354
1754939,"Gorgeous, spacious townhouse in Boston",9228417,Alice,,Jamaica Plain,42.31227,-71.10086,Entire home/apt,165,1,18,2019-07-10,0.41,1,0
1757417,Queen in Arts & Crafts Bungalow,9241244,Keith (& Beth),,West Roxbury,42.2779,-71.14423,Private room,60,1,69,2019-10-08,1.27,3,0
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28209,-71.13335,Private room,67,28,37,2019-10-12,0.47,2,365
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,Stacy,,South End,42.34279,-71.0711,Entire home/apt,890,4,42,2020-03-09,0.59,1,150
1815326,Back Bay Elegance in Brighton,9508341,Phyllis,,Brighton,42.35509,-71.16242,Private room,99,1,302,2020-03-07,4.25,2,358
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Suzanne,,Fenway,42.34947,-71.09265,Entire home/apt,265,91,2,2018-05-24,0.04,4,338
1821633,Queen Size Four Poster Bed,7799789,Bruce,,Dorchester,42.30958,-71.04792,Private room,100,1,211,2020-03-07,2.68,3,365
1863443,Perfect location in Fenway - washer/dryer & WIFI,9419684,Mike,,Fenway,42.34411,-71.1013,Entire home/apt,213,29,6,2017-04-29,0.08,59,211
1867834,Lux 2 Bedroom Apt Near Waterfront w/wifi,9419684,Mike,,West End,42.36422,-71.06926,Entire home/apt,293,91,4,2014-09-19,0.05,59,103
1867881,"Lux 2 Bedroom near Charles St w/gym, & WiFi",9419684,Mike,,West End,42.36429,-71.06827,Entire home/apt,312,29,6,2018-04-17,0.08,59,212
1868004,Lux 1 Bedroom near Charles St w/gym & WiFi,9419684,Mike,,West End,42.36429,-71.06827,Entire home/apt,217,91,6,2015-04-26,0.08,59,90
1873046,"Cute 1 Bedroom Apartment, Downtown Boston",2356643,Voyage,,Downtown,42.35284,-71.06261,Entire home/apt,195,10,122,2020-01-04,1.68,10,349
1881298,Private Apartment- Minutes from T!,1920539,Caitlin & Dan,,Jamaica Plain,42.30026,-71.11181,Entire home/apt,130,1,511,2019-12-17,6.53,1,300
1885386,Boston Large Private Bedroom  - walk to Train,6391436,Robin,,Jamaica Plain,42.30847,-71.11726,Private room,85,1,246,2020-03-01,3.32,4,56
1885825,Boston WALK TO TRAIN Room for 3 private bath,6391436,Robin,,Jamaica Plain,42.3088,-71.1172,Private room,70,1,280,2020-03-14,3.81,4,53
1886037,Beautiful Penthouse in Beacon Hill,1587128,Daniel,,Beacon Hill,42.36056,-71.07141,Entire home/apt,230,91,1,2015-07-24,0.02,1,0
1887507,Location!! Downtown Near Convention Center,970787,Poli,,South Boston,42.34066,-71.05117,Private room,125,2,72,2020-01-16,0.92,2,69
1935042,Cozy Room in Quaker Community,10013311,Beacon,,Beacon Hill,42.35706,-71.06618,Private room,110,1,231,2020-03-13,3.04,2,55
1944976,1 room with queen bed in Boston...,10060070,Diana,,Dorchester,42.31161,-71.04613,Private room,76,91,5,2015-09-06,0.08,1,0
1960407,Sunny Room in Quaker Community,10013311,Beacon,,Beacon Hill,42.3568,-71.06749,Private room,135,1,150,2020-03-13,1.95,2,76
2000797,"Sea view,balcony,15min by metro to center,safe st",9898255,Jessica,,Dorchester,42.31502,-71.06115,Private room,70,91,143,2019-11-03,2.03,5,365
2014651,One Private Bedroom in J.P.,2155838,Molly,,Jamaica Plain,42.30711,-71.10582,Private room,120,91,38,2019-09-02,0.49,1,362
2014882,1 bedroom and private bathroom,1521296,Yossi,,Brighton,42.34126,-71.15717,Private room,70,3,224,2020-03-15,3.16,2,134
2021483,Spacious Updated 2 Bed Boston Condo,10197317,Shannon,,South Boston,42.33535,-71.04741,Entire home/apt,500,1,8,2020-03-01,0.18,2,362
2021489,Spacious Updated Boston Room/Condo,10197317,Shannon,,South Boston,42.33323,-71.04933,Private room,200,1,85,2019-09-25,1.75,2,361
2022303,LOCATION! Modern 2BD 2 BA w/Parking,10393465,Gary,,South Boston,42.34179,-71.05274,Entire home/apt,350,2,195,2020-03-07,2.56,2,338
2108738,Back Bay Studio,10750832,Tom,,Back Bay,42.35046,-71.08894,Entire home/apt,150,91,34,2016-08-14,0.44,1,0
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,,Beacon Hill,42.35672,-71.07147,Entire home/apt,165,5,104,2019-12-08,1.42,1,210
2141306,Modern 2Bd1BA in Downtown Boston,5355690,Kyle,,Downtown,42.35447,-71.06011,Entire home/apt,300,91,7,2017-06-18,0.09,1,0
2183058,Historic Boston North End Condo,11132080,Cindy & Mark,,North End,42.36429,-71.05452,Entire home/apt,195,91,169,2019-12-16,2.28,1,337
2183117,I bdrm in Boston/Allston/Brookline,11132354,Alla,,Allston,42.35159,-71.13347,Entire home/apt,125,30,48,2019-08-30,0.76,1,0
2215762,5 ★ Boutique South End,5430185,Laura And Olivia,,South End,42.34303,-71.07305,Entire home/apt,140,5,29,2020-03-15,0.40,7,161
2219399,Sunny Private Room & Bath in JP: Breakfast+Parking,1624549,Andrew,,Jamaica Plain,42.30073,-71.11431,Private room,112,2,182,2020-03-08,2.52,1,330
2256444,Private Boston Home 10 min WALK TO TRAIN,6391436,Robin,,Jamaica Plain,42.30942,-71.1171,Entire home/apt,230,2,13,2019-09-13,0.17,4,32
2277821,Sparkling New 2BR / 2BA in Back Bay,9410008,Jason,,Back Bay,42.34877,-71.08418,Entire home/apt,425,2,170,2020-03-14,2.31,18,347
2278704,Victorian queen,11631886,Cynthia,,Mattapan,42.28192,-71.09514,Private room,57,1,143,2019-11-05,1.96,4,355
2292495,furnished 1 bed apartment copley #5,9653086,Glenn,,South End,42.34032,-71.07572,Entire home/apt,175,28,69,2019-10-29,1.02,6,273
2378421,Light-filled Private Suite on Beautiful Street,12150111,A And L,,Jamaica Plain,42.31144,-71.11864,Entire home/apt,135,2,130,2019-12-07,1.78,3,135
2395326,* Brownstone Classic South End,12230539,Tim,,South End,42.34568,-71.07169,Entire home/apt,119,1,404,2020-03-07,5.43,1,33
2495047,"5 ★ Clean, Social Distance Here!",5430185,Laura And Olivia,,South End,42.34309,-71.07316,Entire home/apt,115,4,29,2020-02-17,0.43,7,197
2526773,Charming comfort 1 BR / Studio,12165186,Masha,,Brighton,42.3438,-71.1563,Entire home/apt,52,91,14,2020-03-15,0.20,2,364
2583074,Cozy room in a charming villa.,13226301,Mohamed,,Roslindale,42.27965,-71.13606,Private room,40,2,38,2020-03-13,0.55,3,230
2658094,"Beautiful Boston NEnd spacious & Light 2Bd, 1BA-2D",5578043,Dror,,North End,42.36597,-71.05271,Entire home/apt,299,28,143,2020-02-29,2.01,7,140
2672058,"Modern loft, walk to subway",13565868,Christie,,Allston,42.35322,-71.13227,Private room,85,91,12,2016-09-09,0.16,1,0
2701124,Charlesview Suites Back Bay ,13822322,Varouj,,Back Bay,42.34507,-71.08601,Entire home/apt,280,3,77,2019-09-27,1.13,1,291
2723274,Lofty Modern 2BD Apt 800 sq ft,8790904,Albert,,Bay Village,42.34868,-71.07043,Entire home/apt,200,2,26,2019-10-27,0.37,1,5
2737853,South End Chic,14008862,Mariel,,South End,42.34322,-71.07211,Entire home/apt,160,91,5,2015-07-06,0.07,1,0
2747654,"Great studio for social distance, natural light",2356643,Voyage,,Downtown,42.35033,-71.065,Entire home/apt,175,10,175,2019-11-15,2.42,10,362
2754975,Perfect Location to Explore Boston,6885890,Jonathan,,Beacon Hill,42.35757,-71.06366,Entire home/apt,150,180,100,2019-08-21,1.41,1,287
2794782,Green Home (Queen size bed),10273324,Steven,,Dorchester,42.28284,-71.07116,Private room,65,4,56,2019-12-31,0.78,2,212
2798599,Boston's Most Historic District!,14099596,Robert,,Charlestown,42.37407,-71.06016,Private room,139,91,52,2020-03-14,1.72,1,364
2798787,A private room on Sunnyside,13372537,Molly,,Jamaica Plain,42.32451,-71.10541,Private room,75,1,266,2020-03-01,3.70,1,11
2811937,Green Home (Full size bed),10273324,Steven,,Dorchester,42.28439,-71.06912,Private room,65,4,72,2019-11-30,1.00,2,3
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28195,-71.14102,Private room,85,91,75,2017-12-31,1.04,2,256
2846739,SECOND FLOOR PARLOR ROOM,85770,Robert,,South End,42.34623,-71.07364,Private room,140,2,177,2019-10-31,2.43,5,90
2881388,3BR / 2BA + Prvt Deck in Back Bay,9410008,Jason,,Back Bay,42.34877,-71.08418,Entire home/apt,695,2,181,2020-02-17,2.54,18,345
2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,13776857,Katy,,Hyde Park,42.26118,-71.11989,Entire home/apt,249,2,93,2019-11-30,1.30,1,17
2892825,Luxury Sunny Hill Townhouse Apt 1,14785487,Aihua,,Roxbury,42.31018,-71.08543,Entire home/apt,450,28,14,2019-08-31,0.22,3,361
2931165,Victorian Full Bed,11631886,Cynthia,,Mattapan,42.2795,-71.09377,Private room,49,1,133,2019-09-21,1.86,4,355
